page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image     500   302  index   1   8  image  no      8122  0   337   337 3045B 2.0%
   2     1 smask     500   302  gray    1   8  image  no      8122  0   337   337 10.0K 6.8%
   5     2 image       7   553  index   1   8  image  no        20  0   304   304   34B 0.9%
   5     3 image    2331   534  rgb     3   8  image  no        22  0   295   295 94.3K 2.6%
   5     4 image     580   356  rgb     3   8  jpeg   no        24  0   300   300 82.7K  14%
   5     5 image     316   206  rgb     3   8  jpeg   no        26  0   166   169 29.8K  16%
   5     6 image     603   394  rgb     3   8  jpeg   no        27  0   312   312 52.0K 7.5%
   5     7 image     574   379  icc     3   8  jpeg   no        29  0   300   301  137K  22%
   5     8 image     577   441  rgb     3   8  jpeg   no        30  0   253   254 89.0K  12%
   6     9 image    2404   553  index   1   8  image  no        35  0   304   304 2506B 0.2%
   6    10 image       5   534  index   1   8  image  no        37  0   295   295   32B 1.2%
   6    11 image     657   667  rgb     3   8  jpeg   no        41  0   300   300 48.0K 3.7%
   6    12 smask     657   667  gray    1   8  jpeg   no        41  0   300   300 9.98K 2.3%
   6    13 image     384   448  icc     3   8  jpeg   no        43  0   300   300 47.4K 9.4%
   6    14 image     580   360  rgb     3   8  jpeg   no        45  0   300   300  134K  22%
   6    15 image     550   358  icc     3   8  jpeg   no        47  0   300   301 94.7K  16%
   6    16 image     556   353  rgb     3   8  jpeg   no        49  0   300   300 85.1K  15%
   6    17 image     543   362  rgb     3   8  jpeg   no        50  0   300   301  110K  19%
   6    18 image     552   360  rgb     3   8  jpeg   no        52  0   300   300 80.1K  14%
   6    19 image     328   388  rgb     3   8  image  no        54  0   300   301 50.4K  14%
   7    20 image     718   443  rgb     3   8  jpeg   no        58  0   139   142 67.2K 7.2%
   7    21 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  12    22 image    2433  3307  rgb     3   8  jpeg   no        72  0   309   311 1221K 5.2%
  12    23 image    2598  3307  cmyk    4   8  image  no        73  0   320   300 11.2M  34%
  13    24 image    1550   937  rgb     3   8  jpeg   no        77  0   300   300  249K 5.8%
  13    25 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  17    26 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  19    27 image    2500  1331  rgb     3   8  jpeg   no        91  0   424   427  492K 5.0%
  21    28 image    1183   758  rgb     3   8  jpeg   no        97  0   198   195  214K 8.1%
  23    29 image    1920  1280  rgb     3   8  jpeg   no       110  0   325   325  596K 8.3%
  27    30 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  29    31 image     858  1132  icc     3   8  jpeg   no       131  0   300   300  304K  11%
  31    32 image    1638  1650  icc     3   8  jpeg   no       137  0   277   274  721K 9.1%
  33    33 image     855  1236  rgb     3   8  jpeg   no       143  0   300   300  456K  15%
  35    34 image    2442  1551  icc     3   8  jpeg   no       149  0   413   412  557K 5.0%
  38    35 image    1772  1186  icc     3   8  jpeg   no       157  0   300   300  652K  11%
  41    36 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  43    37 image     870  1149  rgb     3   8  jpeg   no       179  0   300   300  198K 6.8%
  43    38 image     861  1149  rgb     3   8  jpeg   no       181  0   300   300  246K 8.5%
  45    39 image    1543   831  rgb     3   8  jpeg   no       187  0   260   255  290K 7.7%
  47    40 image    1786   942  rgb     3   8  jpeg   no       197  0   300   300  302K 6.1%
  51    41 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  53    42 image    2061  1713  rgb     3   8  jpeg   no       211  0   349   352  546K 5.3%
  55    43 image    1972  1556  rgb     3   8  jpeg   no       217  0   334   331  490K 5.5%
  59    44 image    1920  1408  rgb     3   8  jpeg   no       227  0   325   323  391K 4.9%
  63    45 image    1772  1144  icc     3   8  jpeg   no       237  0   300   300  700K  12%
  69    46 image    1772  1181  index   1   8  image  no       252  0   300   300 1660K  81%
  75    47 image    2421  3260  cmyk    4   8  jpeg   no       528  0   300   300 6478K  21%
  76    48 image    2421  3260  cmyk    4   8  jpeg   no       528  0   300   300 6478K  21%
  77    49 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  78    50 image    1920  1034  rgb     3   8  jpeg   no       275  0   325   325  358K 6.2%
  79    51 image    2171  1183  rgb     3   8  jpeg   no       279  0   368   368  496K 6.6%
  80    52 image    2159  1186  rgb     3   8  jpeg   no       283  0   366   366  296K 3.9%
  81    53 image    1895  1041  rgb     3   8  jpeg   no       287  0   321   321  267K 4.6%
  84    54 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  85    55 image     894  1239  rgb     3   8  image  no       298  0   300   300  266K 8.2%
  87    56 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  87    57 image     830   830  rgb     3   8  jpeg   no       307  0   206   212 50.7K 2.5%
  87    58 smask     830   830  gray    1   8  jpeg   no       307  0   206   212 3448B 0.5%
  91    59 image    1041   387  rgb     3   8  jpeg   no       543  0   436   424  157K  13%
  91    60 smask    1041   387  gray    1   8  jpeg   no       543  0   436   424 47.3K  12%
  92    61 image    1041   387  rgb     3   8  jpeg   no       543  0   436   424  157K  13%
  92    62 smask    1041   387  gray    1   8  jpeg   no       543  0   436   424 47.3K  12%
  93    63 image     437   319  rgb     3   8  image  no       338  0   300   300 44.3K  11%
  93    64 image    1007   387  rgb     3   8  jpeg   no       342  0   436   424  154K  14%
  93    65 smask    1007   387  gray    1   8  jpeg   no       342  0   436   424 46.7K  12%
  94    66 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  94    67 image    2263  1382  rgb     3   8  jpeg   no       347  0   287   287  610K 6.7%
  95    68 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  95    69 image    1920  1421  rgb     3   8  jpeg   no       351  0   300   298  875K  11%
  96    70 image     227    80  cmyk    4   8  jpeg   no       412  0   317   319 11.6K  16%
  96    71 image    1292  1575  icc     3   8  jpeg   no       358  0   422   422  196K 3.3%
