page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image     500   302  index   1   8  image  no      8549  0   337   337 3045B 2.0%
   2     1 smask     500   302  gray    1   8  image  no      8549  0   337   337 10.0K 6.8%
   5     2 image    2171   503  rgb     3   8  image  no        22  0   275   275 97.2K 3.0%
   5     3 image     580   356  rgb     3   8  jpeg   no        24  0   300   300 82.7K  14%
   5     4 image     316   206  rgb     3   8  jpeg   no        26  0   166   169 29.8K  16%
   5     5 image     603   394  rgb     3   8  jpeg   no        27  0   312   312 52.0K 7.5%
   5     6 image     574   379  icc     3   8  jpeg   no        29  0   300   301  137K  22%
   5     7 image     577   441  rgb     3   8  jpeg   no        30  0   253   254 89.0K  12%
   6     8 image      12   503  index   1   8  image  no        36  0   275   275   78B 1.3%
   6     9 image     631   623  rgb     3   8  jpeg   no        40  0   300   300 43.4K 3.8%
   6    10 smask     631   623  gray    1   8  jpeg   no        40  0   300   300 9621B 2.4%
   6    11 image     384   448  icc     3   8  jpeg   no        42  0   300   300 47.4K 9.4%
   6    12 image     580   360  rgb     3   8  jpeg   no        44  0   300   300  134K  22%
   6    13 image     550   358  icc     3   8  jpeg   no        46  0   300   301 94.7K  16%
   6    14 image     556   353  rgb     3   8  jpeg   no        48  0   300   300 85.1K  15%
   6    15 image     543   362  rgb     3   8  jpeg   no        49  0   300   301  110K  19%
   6    16 image     552   360  rgb     3   8  jpeg   no        51  0   300   300 80.1K  14%
   6    17 image     328   388  rgb     3   8  image  no        53  0   300   301 50.4K  14%
   6    18 image    2367   545  index   1   8  image  no        55  0   300   300 2451B 0.2%
   7    19 image     718   443  rgb     3   8  jpeg   no        59  0   139   142 67.2K 7.2%
   7    20 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
   7    21 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  12    22 image    2433  3307  rgb     3   8  jpeg   no        71  0   309   311 1221K 5.2%
  13    23 image    1550   937  rgb     3   8  jpeg   no        75  0   300   300  249K 5.8%
  13    24 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  17    25 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  19    26 image    2500  1331  rgb     3   8  jpeg   no        89  0   424   427  492K 5.0%
  21    27 image    1122   735  rgb     3   8  jpeg   no        95  0   189   190  193K 8.0%
  23    28 image    1920  1280  rgb     3   8  jpeg   no       101  0   325   325  596K 8.3%
  27    29 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  29    30 image     858  1132  icc     3   8  jpeg   no       115  0   300   300  304K  11%
  31    31 image    1638  1650  icc     3   8  jpeg   no       121  0   277   274  721K 9.1%
  33    32 image     855  1236  rgb     3   8  jpeg   no       127  0   300   300  456K  15%
  35    33 image    2442  1551  icc     3   8  jpeg   no       133  0   413   412  557K 5.0%
  41    34 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  43    35 image     870  1149  rgb     3   8  jpeg   no       164  0   300   300  198K 6.8%
  43    36 image     861  1149  rgb     3   8  jpeg   no       166  0   300   300  246K 8.5%
  45    37 image    1543   831  rgb     3   8  jpeg   no       176  0   260   255  290K 7.7%
  47    38 image    1786   942  rgb     3   8  jpeg   no       182  0   300   300  302K 6.1%
  51    39 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  53    40 image    2061  1713  rgb     3   8  jpeg   no       196  0   349   352  546K 5.3%
  55    41 image    1959  1788  rgb     3   8  jpeg   no       202  0   330   327  560K 5.5%
  59    42 image    1920  1408  rgb     3   8  jpeg   no       212  0   325   323  391K 4.9%
  64    43 image    1779  1154  icc     3   8  jpeg   no       224  0   300   300  706K  12%
  69    44 image    1772  1181  index   1   8  image  no       237  0   300   300 1660K  81%
  76    45 image    2390  3151  cmyk    4   8  jpeg   no       253  0   303   296 2248K 7.6%
  77    46 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  78    47 image    1772   954  rgb     3   8  jpeg   no       259  0   300   300  321K 6.5%
  79    48 image    2171  1183  rgb     3   8  jpeg   no       263  0   368   368  496K 6.6%
  80    49 image    2159  1186  rgb     3   8  jpeg   no       267  0   366   366  296K 3.9%
  81    50 image    1895  1041  rgb     3   8  jpeg   no       271  0   321   321  267K 4.6%
  84    51 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  85    52 image     894  1096  rgb     3   8  image  no       285  0   300   300  239K 8.3%
  87    53 image     830   830  rgb     3   8  jpeg   no       295  0   206   212 50.7K 2.5%
  87    54 smask     830   830  gray    1   8  jpeg   no       295  0   206   212 3448B 0.5%
  87    55 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  91    56 image    1041   387  rgb     3   8  jpeg   no       543  0   436   424  157K  13%
  91    57 smask    1041   387  gray    1   8  jpeg   no       543  0   436   424 47.3K  12%
  92    58 image    1041   387  rgb     3   8  jpeg   no       543  0   436   424  157K  13%
  92    59 smask    1041   387  gray    1   8  jpeg   no       543  0   436   424 47.3K  12%
  93    60 image     437   319  rgb     3   8  image  no       328  0   300   300 44.3K  11%
  93    61 image    1041   387  rgb     3   8  jpeg   no       543  0   436   424  157K  13%
  93    62 smask    1041   387  gray    1   8  jpeg   no       543  0   436   424 47.3K  12%
  94    63 image    2279  1394  rgb     3   8  jpeg   no       333  0   289   291  642K 6.9%
  94    64 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  95    65 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
  95    66 image    1920  1421  rgb     3   8  jpeg   no       337  0   300   293  875K  11%
  96    67 image    1292  1525  icc     3   8  jpeg   no       345  0   422   422  195K 3.4%
  96    68 image     227    80  cmyk    4   8  jpeg   no       405  0   317   319 11.6K  16%
