page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no        14  0   300   303 11.0K  17%
   5     1 image     993   613  cmyk    4   8  image  no       102  0   151   153  320K  13%
   6     2 image    1913  1103  cmyk    4   8  jpeg   no       112  0   279   262  840K  10%
   9     3 image    1895  1267  cmyk    4   8  jpeg   no       122  0   291   310  468K 5.0%
  12     4 image    1881  1054  cmyk    4   8  jpeg   no       130  0   295   299  735K 9.5%
  14     5 image    1920  1249  cmyk    4   8  jpeg   no       136  0   301   330  759K 8.1%
  16     6 image    1920  1280  cmyk    4   8  jpeg   no       142  0   278   268  763K 7.9%
  17     7 image    1196   565  cmyk    4   8  jpeg   no       146  0   179   180  292K  11%
  21     8 image    1920  1313  cmyk    4   8  jpeg   no       156  0   319   375  686K 7.0%
