page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no        13  0   300   303 11.0K  17%
   3     1 image    1298  1120  cmyk    4   8  jpeg   no        92  0   300   300  140K 2.5%
   5     2 image    1300  1335  cmyk    4   8  jpeg   no       121  0   299   341  214K 3.2%
   7     3 image    1904  1359  cmyk    4   8  jpeg   no       136  0   287   310  361K 3.6%
   9     4 image    1183   648  cmyk    4   8  jpeg   no       142  0   199   177  498K  17%
  10     5 image    1920  1122  cmyk    4   8  jpeg   no       146  0   324   350 1253K  15%
  11     6 image    1920  1142  cmyk    4   8  jpeg   no       150  0   324   350  881K  10%
  13     7 image    1920  1277  cmyk    4   8  jpeg   no       156  0   324   350  686K 7.2%
  15     8 image    1920   987  cmyk    4   8  jpeg   no       162  0   324   357  815K  11%
