page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no      2316  0   300   303 11.0K  17%
   4     1 image    1920  1080  cmyk    4   8  jpeg   no        13  0   325   323 1357K  17%
   5     2 image    1920   944  cmyk    4   8  jpeg   no        18  0   325   317  876K  12%
   6     3 image    1851   933  cmyk    4   8  jpeg   no        22  0   312   312 1007K  15%
   8     4 image    1920   972  cmyk    4   8  jpeg   no        28  0   324   325  479K 6.6%
   9     5 image    1920   840  cmyk    4   8  jpeg   no        32  0   325   325  868K  14%
  10     6 image    1920   852  cmyk    4   8  jpeg   no        36  0   323   324  855K  13%
  12     7 image    1579   940  cmyk    4   8  jpeg   no        42  0   266   290  142K 2.5%
  13     8 image    1543   948  cmyk    4   8  jpeg   no        46  0   260   288  103K 1.8%
  14     9 image    1920  1080  cmyk    4   8  jpeg   no        50  0   323   324  608K 7.5%
  16    10 image    1786   904  cmyk    4   8  jpeg   no        56  0   300   285  599K 9.5%
  18    11 image    1920   988  cmyk    4   8  jpeg   no        62  0   325   325  841K  11%
  20    12 image    1715  1259  cmyk    4   8  jpeg   no        68  0   289   289  612K 7.3%
