page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no      1621  0   300   303 11.0K  17%
   4     1 image    1920  1875  cmyk    4   8  jpeg   no         8  0   431   438  921K 6.6%
   6     2 image    1755  1080  cmyk    4   8  jpeg   no        14  0   296   295  763K  10%
   7     3 image    1645  1019  cmyk    4   8  jpeg   no        18  0   277   286  597K 9.1%
   8     4 image    1888  1169  cmyk    4   8  jpeg   no        22  0   318   329 1331K  15%
   9     5 image    1341   790  cmyk    4   8  jpeg   no        26  0   226   233  839K  20%
  11     6 image    1722   960  cmyk    4   8  jpeg   no        32  0   290   267  433K 6.7%
  12     7 image    1812   840  cmyk    4   8  jpeg   no        36  0   306   289  435K 7.3%
  14     8 image    1920  1275  cmyk    4   8  jpeg   no        42  0   425   429  447K 4.7%
  14     9 image    1920  1342  cmyk    4   8  jpeg   no        44  0   447   451  474K 4.7%
  16    10 image    1920   941  cmyk    4   8  jpeg   no        50  0   325   300  757K  11%
