page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no       135  0   300   303 11.0K  17%
   4     1 image    1142   685  icc     3   8  jpeg   no       140  0   192   188  251K  11%
   6     2 image    1794  1356  icc     3   8  jpeg   no       116  0   346   394  482K 6.8%
   8     3 image    1168   722  icc     3   8  jpeg   no       119  0   197   198  191K 7.7%
  10     4 image     762   415  index   1   8  image  no       123  0   128   118  230K  74%
  14     5 image    1038   976  icc     3   8  jpeg   no        48  0   261   263  375K  13%
  16     6 image    1024   739  icc     3   8  jpeg   no        52  0   174   196  291K  13%
  18     7 image    1038   866  icc     3   8  jpeg   no        56  0   261   263  328K  12%
  18     8 image    1161   711  icc     3   8  jpeg   no        57  0   195   189  159K 6.6%
