page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image     215    76  cmyk    4   8  jpeg   no        10  0   300   303 11.0K  17%
   4     1 image    2181  1212  cmyk    4   8  jpeg   no        15  0   300   300  512K 5.0%
   5     2 image    2836  1472  cmyk    4   8  jpeg   no        18  0   403   358  681K 4.2%
   6     3 image    2472  1544  index   1   8  image  no        22  0   379   372  568K  15%
   7     4 image    1531  1002  cmyk    4   8  jpeg   no        25  0   258   244  458K 7.6%
   8     5 image    1611   481  cmyk    4   8  jpeg   no        28  0   227   160  248K 8.2%
  12     6 image    2028   897  cmyk    4   8  jpeg   no        37  0   275   225  537K 7.6%
  17     7 image    1485   879  index   1   8  image  no        50  0   266   254  135K  11%
  17     8 image    1486  1227  index   1   8  image  no        51  0   266   254  252K  14%
  18     9 image    1486   208  index   1   8  image  no        57  0   266   254 37.8K  13%
  18    10 image    1487   663  index   1   8  image  no        58  0   266   254  149K  16%
  18    11 image    1485   431  index   1   8  image  no        59  0   266   254 81.8K  13%
  19    12 image    1424  1295  index   1   8  image  no        64  0   264   250  290K  16%
  19    13 image    1425   591  index   1   8  image  no        65  0   264   258  162K  20%
  20    14 image    1500  1113  index   1   8  image  no        70  0   271   253  236K  15%
  20    15 image    1500   748  index   1   8  image  no        71  0   272   245  174K  16%
