page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no       196  0   300   303 11.0K  17%
   4     1 image    1818  1078  index   1   8  image  no       203  0   306   308 1109K  58%
   6     2 image    1865  1076  icc     3   8  jpeg   no       180  0   314   312  892K  15%
   8     3 image    2382  1236  icc     3   8  jpeg   no       184  0   401   399  747K 8.7%
  10     4 image     856   700  icc     3   8  jpeg   no       187  0   226   238  311K  18%
  10     5 image     990   709  icc     3   8  jpeg   no       188  0   260   239  162K 7.9%
  12     6 image    1170  1065  index   1   8  image  no       172  0   297   297 41.6K 3.4%
  14     7 image    1121   647  icc     3   8  jpeg   no       175  0   159   163  150K 7.1%
  16     8 image    1564   900  icc     3   8  jpeg   no       163  0   263   249  295K 7.2%
  18     9 image    1578   900  icc     3   8  jpeg   no       166  0   266   264  215K 5.2%
  22    10 image    1441  1037  icc     3   8  jpeg   no       151  0   243   253  325K 7.4%
