page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no       159  0   300   303 11.0K  17%
   4     1 image    1024   676  icc     3   8  jpeg   no       165  0   173   174  190K 9.4%
   6     2 image    1046   651  icc     3   8  jpeg   no       143  0   176   183  215K  11%
   8     3 image     536   724  icc     3   8  jpeg   no       147  0   204   206 94.9K 8.3%
  10     4 image    1712  1150  index   1   8  image  no       151  0   288   323 1472K  77%
  12     5 image    1073   591  icc     3   8  jpeg   no       133  0   180   195  233K  13%
  14     6 image     705   932  icc     3   8  jpeg   no       137  0   300   300  270K  14%
  16     7 image    1441   582  index   1   8  image  no        45  0   219   235  647K  79%
  18     8 image    1352   752  index   1   8  image  no        52  0   227   213  908K  91%
