page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no       179  0   300   303 11.0K  17%
   4     1 image    1131   715  cmyk    4   8  jpeg   no        14  0   191   196  309K 9.8%
   6     2 image     803   535  cmyk    4   8  jpeg   no        20  0   136   146  272K  16%
   6     3 smask     803   535  gray    1   8  jpeg   no        20  0   136   146 2271B 0.5%
   8     4 image    1392   882  devn    1   8  jpeg   no        29  0   234   236  191K  16%
  10     5 image    1833   807  cmyk    4   8  jpeg   no        34  0   309   288  706K  12%
  14     6 image    1044   777  cmyk    4   8  jpeg   no        43  0   176   182  519K  16%
  16     7 image    1506  1062  cmyk    4   8  jpeg   no        48  0   254   255  482K 7.7%
  18     8 image     889   622  cmyk    4   8  jpeg   no        54  0   150   143  266K  12%
  18     9 smask     889   622  gray    1   8  jpeg   no        54  0   150   143 2824B 0.5%
  20    10 image     838   551  cmyk    4   8  jpeg   no        60  0   141   146  166K 9.2%
  22    11 image    1191   698  cmyk    4   8  jpeg   no        65  0   201   194  255K 7.8%
