page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no       203  0   300   303 11.0K  17%
   4     1 image    1200   725  cmyk    4   8  jpeg   no        19  0   203   199  313K 9.2%
   6     2 image     970   691  cmyk    4   8  jpeg   no        24  0   157   190  456K  17%
   8     3 image    1456   877  devn    1   8  jpeg   no        33  0   245   247  173K  14%
  10     4 image    1833   807  cmyk    4   8  jpeg   no        38  0   309   288  706K  12%
  14     5 image    1071   762  cmyk    4   8  jpeg   no        47  0   181   187  526K  17%
  16     6 image    1506  1062  cmyk    4   8  jpeg   no        52  0   254   255  482K 7.7%
  18     7 image     889   622  cmyk    4   8  jpeg   no        58  0   150   143  266K  12%
  18     8 smask     889   622  gray    1   8  jpeg   no        58  0   150   143 2824B 0.5%
  20     9 image     838   551  cmyk    4   8  jpeg   no        64  0   141   146  166K 9.2%
  22    10 image    1192   704  cmyk    4   8  jpeg   no        69  0   202   195  235K 7.2%
