page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no       189  0   300   303 11.0K  17%
   4     1 image    1200   947  cmyk    4   8  jpeg   no        15  0   204   235  197K 4.4%
   6     2 image    1781  1220  cmyk    4   8  jpeg   no        21  0   300   300 1186K  14%
   8     3 image    1911  1060  cmyk    4   8  jpeg   no        27  0   323   337 1280K  16%
  10     4 image    1223   766  cmyk    4   8  jpeg   no        33  0   206   229  417K  11%
  12     5 image    1078   640  cmyk    4   8  jpeg   no        39  0   181   170  223K 8.3%
  14     6 image    1774  1123  cmyk    4   8  jpeg   no        45  0   300   300  378K 4.9%
  16     7 image    1847  1086  cmyk    4   8  jpeg   no        51  0   311   311 1026K  13%
  18     8 image    1170   735  cmyk    4   8  jpeg   no        56  0   198   190  472K  14%
  20     9 image    1331   933  cmyk    4   8  jpeg   no        62  0   225   236  243K 5.0%
  22    10 image    1260  1098  cmyk    4   8  jpeg   no        68  0   214   234  433K 8.0%
  22    11 smask    1260  1098  gray    1   8  jpeg   no        68  0   214   234 6262B 0.5%
