page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    82  cmyk    4   8  jpeg   no       175  0   300   301 11.8K  17%
   4     1 image     555   398  cmyk    4   8  jpeg   no        15  0    93    95  109K  13%
   4     2 image    1004   761  cmyk    4   8  jpeg   no        17  0   169   177  343K  12%
   4     3 smask    1004   761  gray    1   8  jpeg   no        17  0   169   177 3688B 0.5%
   6     4 image      56    87  index   1   8  image  no        26  0    93    95   30B 0.6%
   6     5 image    1466  1131  cmyk    4   8  jpeg   no        28  0   247   236  626K 9.7%
   6     6 smask    1466  1131  gray    1   8  image  no        28  0   247   236 1671B 0.1%
   8     7 image     594   410  cmyk    4   8  jpeg   no        36  0   100    99 85.9K 9.0%
   8     8 image    1783  1193  cmyk    4   8  jpeg   no        38  0   300   300  845K  10%
  10     9 image    1781  1168  cmyk    4   8  jpeg   no        43  0   300   300  517K 6.4%
  12    10 image     955   656  cmyk    4   8  jpeg   no        49  0   161   149  186K 7.6%
